ReviewComment,,
This is one of the beginner and best course in computer vision. i would like to include the advance version of this course as well.,,
It is an excellent course for Phd students as it gives the broad vision of different research areas in Machine vision field. Presenting two papers 1 mid exam + 1 project are more than sufficient to give exposure of the vision field. I really learn a lot from this course which will definitely help me in my future research. This course should be offered in regular semester.,,
The course is very good. We need more time to read more and more lessons.,,
One of the very use full subjects for the New world and is base or core for many real life applications,,
This is a very useful and interesting course. We got a chance to better understand the concepts of an image is processed in order to extract useful information and get a glimpse of how they are implemented in real-world. Presenting the research papers and listening to presentations was really helpful and we got to learn a lot about these topics. Also the project helped us implement real world applications that is further helpful if we plan to do research in this field.,,
good course,,
"Few more application specific contents is needed. In-spite of term exams,if we can focus more on the application area then the course will be a huge success.",,
More Homework assignments would have helped to gain more knowledge.,,
Must have some tutorials for of programming language,,
Ntg,,
One word. Amazing!,,
Please include Field trips.,,
all is the best and i appreciate that.,,
course is very well structured,,
None,,
I think an in class mini-project should be considered to be done step by step in during lectures,,
This course is a good subject with very interesting lectures,,
none to improve,,
no comments/complaints here.,,
It could be beneficial for the course if we had assignments on case studies or the research papers.,,
This course will help me in future in taking decisions,,
The course is great,,
1.This course deals with modern examples and also it can be improved in such a manner students can be able to apply to the modern day methods. 2.Needs some more topics for the privacy methods while dealing with the data.,,
its good,,
the reading presentations are not effective,,
Good course to learn new things and take good decisions using different decision making methods,,
This course is nice where we can learn so many things about how to deal with problems and make good decisions. In making decision do not rely on personal goal but it should be have a basis and data at hand before making decisions.,,
This is a very useful course where we got an idea about decision making platform and also good for business management.,,
This course is a great help in IM, it talk alot of techniques, metbod and models to help to improve certain organization in their decision making in terms if outcome.
now it is very good,,
The course includes decision support models which are very useful.,,
The course contains too many models and they all need practical implementation. So for this course I recommend at a lab session each week for practical use of the models. Also if the lab assistant/instructor is from the computer science/IM field would be better.,,
Course was well structured, however lacked in illustrating practical applications.,
Very good course easy to learn,,
Course is well organised..it was fun learning,,
Subject is so practical to learn many new things.,,
usefull course,,
Decision Support Technologies is a required course of IM course. It is dealt as it was meant to be.,,
very good course and it is very helpfull,,
The course material was good. Its more wide than I had expected. So I am happy to take this course and it,,
has broaden my knowledge and will also help during my thesis work.,,
useful,,
Course was excellent. It helped me to make better Decisions.,,
Okay,,
the course has many interesting topics only overview of each topic was given could have tough a more practical approach where teaching about a data mining sofware and how to build a dss,,
Course is good,,
Course was a little abstract , it touched upon too many topics but not in depth. Execution of project was a little hard.,
We should be given more examples of models being applied in real life situations. it would give us a better understanding of where DST is being used on a global scale.,,
course was well designed.,,
Please make the slide more expressive.,,
GOOD,,
It nice course,,
The course syllabus clearly state its target topics and objectives. It is also clear to student on what are the things they need to learn. So far the course syllabus is effectuve for guiding me in acquiring knowledge about digital communication.,,
very good course,,
Slides should be make more understable.,,
good,,
