Sentence/Comments,Suggestion
This is one of the beginner and best course in computer vision.,no
i would like to include the advance version of this course as well.,yes
It is an excellent course for Phd students as it gives the broad vision of different research areas in Machine vision field.,no
Presenting two papers 1 mid exam + 1 project are more than sufficient to give exposure of the vision field.,no
I really learn a lot from this course which will definitely help me in my future research.,no
This course should be offered in regular semester.,yes
The course is very good.,no
We need more time to read more and more lessons.,yes
One of the very use full subjects for the New world and is base or core for many real life applications.,no
This is a very useful and interesting course.,no
We got a chance to better understand the concepts of an image is processed in order to extract useful information and get a glimpse of how they are implemented in real-world.,no
Presenting the research papers and listening to presentations was really helpful and we got to learn a lot about these topics.,no
Also the project helped us implement real world applications that is further helpful if we plan to do research in this field.,yes
good course.,no
Few more application specific contents is needed. ,yes
In-spite of term exams if we can focus more on the application area then the course will be a huge success.,yes
More Homework assignments would have helped to gain more knowledge.,yes
Must have some tutorials for of programming language.,yes
Ntg One word.,no
Amazing!.,no
Please include Field trips.,yes
all is the best and i appreciate that.,no
course is very well structured.,no
I think an in class mini-project should be considered to be done step by step in during lectures.,yes
This course is a good subject with very interesting lectures.,no
none to improve.,no
no comments/complaints here.,no
It could be beneficial for the course if we had assignments on case studies or the research papers.,yes
This course will help me in future in taking decisions.,no
The course is great.,no
1.This course deals with modern examples and also it can be improved in such a manner students can be able to apply to the modern day methods.,yes
2.Needs some more topics for the privacy methods while dealing with the data.,yes
its good.,no
the reading presentations are not effective.,yes
Good course to learn new things and take good decisions using different decision making methods.,no
This course is nice where we can learn so many things about how to deal with problems and make good decisions.,no
In making decision do not rely on personal goal but it should be have a basis and data at hand before making decisions.,yes
This is a very useful course where we got an idea about decision making platform and also good for business management.,no
This course is a great help in IM it talk alot of techniques metbod and models to help to improve certain organization in their decision making in terms if outcome.,no
now it is very good.,no
The course includes decision support models which are very useful.,no
The course contains too many models and they all need practical implementation.,yes
So for this course I recommend at a lab session each week for practical use of the models.,yes
Also if the lab assistant/instructor is from the computer science/IM field would be better.,yes
Course was well structured however lacked in illustrating practical applications.,yes
Very good course easy to learn.,no
Course is well organised.it was fun learning.,no
Subject is so practical to learn many new things.,no
usefull course.,no
Decision Support Technologies is a required course of IM course.,no
It is dealt as it was meant to be.,no
very good course and it is very helpfull.,no
The course material was good.,no
Its more wide than I had expected.,no
So I am happy to take this course and it\nhas broaden my knowledge and will also help during my thesis work.,no
useful.,no
Course was excellent.,no
It helped me to make better Decisions.,no
Okay.,no
the course has many interesting topics only overview of each topic was given could have tough a more practical approach where teaching about a data mining sofware and how to build a dss.,yes
Course is good.,no
Course was a little abstract it touched upon too many topics but not in depth.,yes
Execution of project was a little hard.,yes
We should be given more examples of models being applied in real life situations.,yes
it would give us a better understanding of where DST is being used on a global scale.,yes
course was well designed.,no
Please make the slide more expressive.,yes
GOOD.,no
It nice course.,no
The course syllabus clearly state its target topics and objectives.,no
It is also clear to student on what are the things they need to learn.,no
So far the course syllabus is effectuve for guiding me in acquiring knowledge about digital communication.,no
very good course.,no
Slides should be make more understable.,yes
good.,no
Assignments and homework are effective for learning.,yes
Course syllabus clearly defined learning objectives session-wise topics and readings.,no
This course is important for us.,no
Highly extensive and requires a good command on mathematical deduction and understanding.,yes
The course should include a lab class so that the student could apply it practically on the basis of what he/she has learned.,yes
The course meet my expectation.,no
Digital Communications is the most updated course in context of the modern world.,no
But I suggest this subject may also include the lab activities which will be effective for future.,yes
good.,no
The course was up to date.,no
It is one of the fundamental subjects for Computer Science students and helped us gain an insight into real world web-development.,no
However I believe the content of the course was a lot to cover up in just one semester.,yes
An excellent course to learn almost every part of web application engineering.,no
It is an interesting course and useful for real life in programming.,no
Give more time for basic programming learning as for many students the subject is very new,yes
Yes this course is a very good course for a beginner like me.,no
"There were errors on a few hand outs , if it''s will be corrected.",yes
If videos of hand outs made and available to students will be a extra plus.,yes
Everything is okay.,no
But I suggest less theory and more practice.,yes
I found that the course was Rails specific.,yes
It would have been better it was a bit more generalized.,yes
The content is very modern and good.,no
could have used a dedicated textbook.,yes
I think ruby is quite not used in real work.,yes
It should be better to use other language like python.,yes
It would be better if every student is required to do an individual project.,yes
Course is good and need to add some extra material.,yes
Should show the overall first then be more scope down to be know that which part are we now. ,yes
Not very specific at the beginning.,yes
We can't bring to apply in real life so much.,yes
It will be better if we had a TA.,yes
When instructor doing the practicals in the class its really hard to follow because of his speed.,yes
This is an important course for software engineers as we get to learn about the architectural patterns and also large enterprise software architectures.,no
could use more real life examples.,yes
too much content not detail every topic.,yes
Maybe more assignments could have been given so that we could practice ourselves.,yes
The tutorials were too difficult to catch up in the class itself.,yes
Everything was fine.,no
This course spend too much time on programming tutorial which isn't quite effective because a lot of problems arise when perform the tutorial in class.,yes
I appreciate the material of the course as it has covered almost all the related topics. ,no
The course is also up to date with the latest version of the book.,no
