comments,suggestion,
i would like to include the advance version of this course as well.,CS,neutral
This course should be offered in regular semester.,CS,neutral
We need more time to read more and more lessons.,CS,neutral
Also the project helped us implement real world applications that is further helpful if we plan to do research in this field.,CS,neutral
Few more application specific contents is needed. ,CS,neutral
In-spite of term exams if we can focus more on the application area then the course will be a huge success.,CS,neutral
More Homework assignments would have helped to gain more knowledge.,CS,neutral
Must have some tutorials for of programming language.,CS,neutral
Please include Field trips.,CS,neutral
I think an in class mini-project should be considered to be done step by step in during lectures.,CS,neutral
It could be beneficial for the course if we had assignments on case studies or the research papers.,CS,neutral
1.This course deals with modern examples and also it can be improved in such a manner students can be able to apply to the modern day methods.,CS,neutral
2.Needs some more topics for the privacy methods while dealing with the data.,CS,neutral
the reading presentations are not effective.,CS,neutral
In making decision do not rely on personal goal but it should be have a basis and data at hand before making decisions.,CS,neutral
The course contains too many models and they all need practical implementation.,CS,neutral
So for this course I recommend at a lab session each week for practical use of the models.,CS,neutral
Course was well structured however lacked in illustrating practical applications.,CS,neutral
Course was a little abstract it touched upon too many topics but not in depth.,CS,neutral
Execution of project was a little hard.,CS,neutral
We should be given more examples of models being applied in real life situations.,CS,neutral
it would give us a better understanding of where DST is being used on a global scale.,CS,neutral
Assignments and homework are effective for learning.,CS,neutral
Highly extensive and requires a good command on mathematical deduction and understanding.,CS,neutral
The course should include a lab class so that the student could apply it practically on the basis of what he/she has learned.,CS,neutral
But I suggest this subject may also include the lab activities which will be effective for future.,CS,neutral
However I believe the content of the course was a lot to cover up in just one semester.,CS,neutral
Give more time for basic programming learning as for many students the subject is very new,CS,neutral
"There were errors on a few hand outs , if it''s will be corrected.",CS,neutral
If videos of hand outs made and available to students will be a extra plus.,CS,neutral
But I suggest less theory and more practice.,CS,neutral
I found that the course was Rails specific.,CS,neutral
It would have been better it was a bit more generalized.,CS,neutral
could have used a dedicated textbook.,CS,neutral
I think ruby is quite not used in real work.,CS,neutral
It should be better to use other language like python.,CS,neutral
It would be better if every student is required to do an individual project.,CS,neutral
Course is good and need to add some extra material.,CS,neutral
Should show the overall first then be more scope down to be know that which part are we now. ,CS,neutral
Not very specific at the beginning.,CS,neutral
We can't bring to apply in real life so much.,CS,neutral
It will be better if we had a TA.,CS,neutral
When instructor doing the practicals in the class its really hard to follow because of his speed.,CS,neutral
could use more real life examples.,CS,neutral
too much content not detail every topic.,CS,neutral
