comment,Predicted_Sentiment,Actual_Sentiment
['good'],1,1
"['the', 'course', 'was', 'up', 'to', 'date']",0,1
"['it', 'is', 'one', 'of', 'the', 'fundamental', 'subjects', 'for', 'computer', 'science', 'students', 'and', 'helped', 'us', 'gain', 'an', 'insight', 'into', 'real', 'world', 'web-development', '.']",0,1
"['however', ',', 'i', 'believe', 'the', 'content', 'of', 'the', 'course', 'was', 'a', 'lot', 'to', 'cover', 'up', 'in', 'just', 'one', 'semester', '.']",0,0
"['an', 'excellent', 'course', 'to', 'learn', 'almost', 'every', 'part', 'of', 'web', 'application', 'engineering', '.']",1,1
"['it', 'is', 'an', 'interesting', 'course', 'and', 'useful', 'for', 'real', 'life', 'in', 'programming', '.']",1,1
"['instructor', 'taught', 'from', 'every', 'perspective', ',', 'it', 'was', 'really', 'helpful', 'for', 'career', '.', 'he', 'is', 'one', 'of', 'the', 'best', 'instructor', 'i', 'ever', 'meet']",1,1
"['the', 'teacher', 'has', 'a', 'really', 'good', 'knowledge', 'in', 'this', 'field', '.', 'he', 'tries', 'his', 'best', 'to', 'makes', 'sure', 'the', 'subject', 'matter', 'is', 'understood', 'well', '.', 'he', 'motivates', 'us', 'to', 'participate', 'in', 'class', '.']",1,1
"['very', 'well', 'prepared', 'and', 'gave', 'real', 'life', 'examples', 'for', 'almost', 'all', 'the', 'topics', 'and', 'encouraged', 'questions', 'after', 'every', 'class', '.']",1,1
"['he', 'is', 'very', 'smart', 'and', 'intelligent', '.', 'he', 'also', 'try', 'to', 'explain', 'clearly', 'for', 'some', 'topic', 'and', 'give', 'the', 'example', '.']",0,1
"['even', 'some', 'example', 'may', 'difficult', 'to', 'understand', 'and', 'sometimes', 'he', 'taught', 'too', 'fast', '.']",0,0
"['i', 'found', 'that', 'the', 'course', 'was', 'rails', 'specific', '.', 'it', 'would', 'have', 'been', 'better', 'it', 'was', 'a', 'bit', 'more', 'generalized', '.']",1,0
"['the', 'content', 'is', 'very', 'modern', 'and', 'good', '.']",0,1
"['could', 'have', 'used', 'a', 'dedicated', 'textbook']",0,0
"['i', 'think', 'ruby', 'is', 'quite', 'not', 'used', 'in', 'real', 'work', '.', 'it', 'should', 'be', 'better', 'to', 'use', 'other', 'language', 'like', 'python', '.']",0,0
"['it', 'would', 'be', 'better', 'if', 'every', 'student', 'is', 'required', 'to', 'do', 'an', 'individual', 'project', '.']",0,0
"['course', 'is', 'good', 'and', 'need', 'to', 'add', 'some', 'extra', 'material', '.']",1,0
"['he', 'is', 'good', 'and', 'teaching', 'is', 'also', 'very', 'good', '.']",1,1
"['thank', 'you', 'very', 'much', 'sir', '.', 'first', 'i', 'thought', 'the', 'course', 'was', 'so', 'hectic', ',', 'but', 'after', 'some', 'time', 'i', 'got', 'your', 'point', 'why', 'you', 'kicked', 'us', 'in', 'the', 'middle', 'of', 'the']",0,1
"['ocean', '(', 'hahaha', ',', 'just', 'kidding', '!', ')', 'but', 'you', 'taught', 'us', 'swimming', '.']",1,1
"['could', 'have', 'gone', 'in', 'a', 'slower', 'pace', ',', 'to', 'fast', 'to', 'follow', 'for', 'new', 'programmers']",0,0
"['please', 'write', 'on', 'the', 'board', 'darker', 'than', 'the', 'past', '.', 'i', 'have', 'to', 'take', 'a', 'photo', 'and', 'zoom', 'it', 'for', 'looking', 'on', 'what', 'you', ""'ve"", 'just', 'written', '.']",0,0
"['great', 'teaching', 'and', 'evaluation', 'methods', '.', 'focus', 'on', 'practical', 'implementation', 'helped', 'me', 'learn', 'more', '.']",1,1
"['you', 'have', 'spent', 'so', 'much', 'of', 'your', 'time', 'with', 'us', '.', 'thank', 'you', '.']",0,1
"['yes', ',', 'this', 'course', 'is', 'a', 'very', 'good', 'course', 'for', 'a', 'beginner', 'like', 'me', '.']",1,1
['nothing'],0,0
"['there', 'were', 'errors', 'on', 'a', 'few', 'hand', 'outs', ',', 'if', 'it', ""'s"", 'will', 'be', 'corrected', '.', 'if', 'videos', 'of', 'hand', 'outs', 'made', 'and', 'available', 'to', 'students', 'will', 'be', 'a', 'extra', 'plus', '.']",0,0
"['everything', 'is', 'okay', '.', 'but', 'i', 'suggest', 'less', 'theory', 'and', 'more', 'practice']",0,0
"['awesome', ':', ')']",1,1
"['he', 'is', 'a', 'very', 'good', 'professor', '.']",1,1
['nothing'],0,0
"['he', 'is', 'good', 'with', 'students', 'and', 'he', 'care', 'about', 'student', ""'s"", 'grades', '.']",1,1
"['give', 'more', 'time', 'for', 'basic', 'programming', 'learning', 'as', 'for', 'many', 'students', 'the', 'subject', 'is', 'very', 'new']",0,0
