comment,suggestion,Sentiment
This is one of the beginner and best course in computer vision.,NO,positive
i would like to include the advance version of this course as well.,CS,neutral
It is an excellent course for Phd students as it gives the broad vision of different research areas in Machine vision field.,NO,positive
Presenting two papers 1 mid exam + 1 project are more than sufficient to give exposure of the vision field.,NO,positive
I really learn a lot from this course which will definitely help me in my future research.,NO,positive
This course should be offered in regular semester.,CS,neutral
The course is very good.,NO,positive
We need more time to read more and more lessons.,CS,neutral
One of the very use full subjects for the New world and is base or core for many real life applications.,NO,positive
This is a very useful and interesting course.,NO,positive
We got a chance to better understand the concepts of an image is processed in order to extract useful information and get a glimpse of how they are implemented in real-world.,NO,positive
Presenting the research papers and listening to presentations was really helpful and we got to learn a lot about these topics.,NO,positive
Also the project helped us implement real world applications that is further helpful if we plan to do research in this field.,CS,neutral
good course.,NO,positive
Few more application specific contents is needed. ,CS,neutral
In-spite of term exams if we can focus more on the application area then the course will be a huge success.,CS,neutral
More Homework assignments would have helped to gain more knowledge.,CS,neutral
Must have some tutorials for of programming language.,CS,neutral
Ntg One word.,NO,neutral
Amazing!.,NO,positive
Please include Field trips.,CS,neutral
all is the best and i appreciate that.,NO,positive
course is very well structured.,NO,positive
I think an in class mini-project should be considered to be done step by step in during lectures.,CS,neutral
This course is a good subject with very interesting lectures.,NO,positive
none to improve.,NO,neutral
no comments/complaints here.,NO,neutral
It could be beneficial for the course if we had assignments on case studies or the research papers.,CS,neutral
This course will help me in future in taking decisions.,NO,positive
The course is great.,NO,positive
1.This course deals with modern examples and also it can be improved in such a manner students can be able to apply to the modern day methods.,CS,neutral
2.Needs some more topics for the privacy methods while dealing with the data.,CS,neutral
its good.,NO,positive
the reading presentations are not effective.,CS,neutral
Good course to learn new things and take good decisions using different decision making methods.,NO,positive
This course is nice where we can learn so many things about how to deal with problems and make good decisions.,NO,positive
In making decision do not rely on personal goal but it should be have a basis and data at hand before making decisions.,CS,neutral
This is a very useful course where we got an idea about decision making platform and also good for business management.,NO,positive
This course is a great help in IM it talk alot of techniques metbod and models to help to improve certain organization in their decision making in terms if outcome.,NO,positive
now it is very good.,NO,positive
The course includes decision support models which are very useful.,NO,positive
The course contains too many models and they all need practical implementation.,CS,neutral
So for this course I recommend at a lab session each week for practical use of the models.,CS,neutral
Also if the lab assistant/instructor is from the computer science/IM field would be better.,IS,neutral
Course was well structured however lacked in illustrating practical applications.,CS,neutral
Very good course easy to learn.,NO,positive
Course is well organised.it was fun learning.,NO,positive
Subject is so practical to learn many new things.,NO,neutral
usefull course.,NO,positive
