comment,Sentiment
This is one of the beginner and best course in computer vision.,positive
i would like to include the advance version of this course as well.,CS
It is an excellent course for Phd students as it gives the broad vision of different research areas in Machine vision field.,positive
Presenting two papers 1 mid exam + 1 project are more than sufficient to give exposure of the vision field.,positive
I really learn a lot from this course which will definitely help me in my future research.,positive
This course should be offered in regular semester.,CS
The course is very good.,positive
We need more time to read more and more lessons.,CS
Also the project helped us implement real world applications that is further helpful if we plan to do research in this field.,CS
good course.,positive
Few more application specific contents is needed. ,CS
In-spite of term exams if we can focus more on the application area then the course will be a huge success.,CS
More Homework assignments would have helped to gain more knowledge.,CS
Must have some tutorials for of programming language.,CS
Ntg One word.,neutral
Amazing!.,positive
Please include Field trips.,CS
all is the best and i appreciate that.,positive
course is very well structured.,positive
I think an in class mini-project should be considered to be done step by step in during lectures.,CS
This course is a good subject with very interesting lectures.,positive
none to improve.,neutral
no comments/complaints here.,neutral
It could be beneficial for the course if we had assignments on case studies or the research papers.,CS
This course will help me in future in taking decisions.,positive
The course is great.,positive
1.This course deals with modern examples and also it can be improved in such a manner students can be able to apply to the modern day methods.,CS
2.Needs some more topics for the privacy methods while dealing with the data.,CS
its good.,positive
the reading presentations are not effective.,CS
Good course to learn new things and take good decisions using different decision making methods.,positive
This course is nice where we can learn so many things about how to deal with problems and make good decisions.,positive
In making decision do not rely on personal goal but it should be have a basis and data at hand before making decisions.,CS
This is a very useful course where we got an idea about decision making platform and also good for business management.,positive
This course is a great help in IM it talk alot of techniques metbod and models to help to improve certain organization in their decision making in terms if outcome.,positive
now it is very good.,positive
The course includes decision support models which are very useful.,positive
The course contains too many models and they all need practical implementation.,CS
So for this course I recommend at a lab session each week for practical use of the models.,CS
Also if the lab assistant/instructor is from the computer science/IM field would be better.,IS
Course was well structured however lacked in illustrating practical applications.,CS
Very good course easy to learn.,positive
Course is well organised.it was fun learning.,positive
Subject is so practical to learn many new things.,neutral
usefull course.,positive
Decision Support Technologies is a required course of IM course.,neutral
It is dealt as it was meant to be.,neutral
very good course and it is very helpfull.,positive
The course material was good.,positive
Its more wide than I had expected.,neutral
So I am happy to take this course and it\nhas broaden my knowledge and will also help during my thesis work.,neutral
useful.,neutral
Course was excellent.,positive
It helped me to make better Decisions.,neutral
Okay.,neutral
the course has many interesting topics only overview of each topic was given could have tough a more practical approach where teaching about a data mining sofware and how to build a dss.,CS
Course is good.,positive
Course was a little abstract it touched upon too many topics but not in depth.,CS
Execution of project was a little hard.,CS
We should be given more examples of models being applied in real life situations.,CS
it would give us a better understanding of where DST is being used on a global scale.,CS
course was well designed.,positive
Please make the slide more expressive.,IS
GOOD.,positive
It nice course.,positive
The course syllabus clearly state its target topics and objectives.,positive
It is also clear to student on what are the things they need to learn.,neutral
So far the course syllabus is effectuve for guiding me in acquiring knowledge about digital communication.,neutral
very good course.,positive
Slides should be make more understable.,IS
good.,positive
Assignments and homework are effective for learning.,CS
Course syllabus clearly defined learning objectives session-wise topics and readings.,positive
This course is important for us.,positive
Highly extensive and requires a good command on mathematical deduction and understanding.,CS
The course should include a lab class so that the student could apply it practically on the basis of what he/she has learned.,CS
