suggestion,Sentiment,suggestion,Sentiment,suggestion
NO,positive,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,CS,suggestion,CS
NO,positive,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
CS,suggestion,NO,positive,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
CS,suggestion,NO,positive,NO
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
CS,suggestion,NO,positive,NO
NO,positive,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,positive,IS,suggestion,IS
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
CS,suggestion,NO,positive,NO
IS,suggestion,NO,neutral,NO
CS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,neutral,NO
NO,neutral,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,neutral,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
CS,suggestion,IS,suggestion,IS
CS,suggestion,NO,positive,NO
CS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,neutral,CS,suggestion,CS
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,positive,CS,suggestion,CS
NO,positive,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
NO,positive,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,neutral,NO,positive,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,positive,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
CS,suggestion,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,positive,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
NO,neutral,NO,positive,NO
CS,suggestion,NO,neutral,NO
NO,neutral,NO,positive,NO
CS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,CS,suggestion,CS
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
CS,suggestion,NO,neutral,NO
CS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
NO,neutral,NO,positive,NO
NO,positive,CS,suggestion,CS
NO,neutral,NO,positive,NO
NO,positive,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
NO,neutral,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,neutral,CS,suggestion,CS
CS,suggestion,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
CS,suggestion,NO,neutral,NO
NO,positive,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,neutral,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
CS,suggestion,IS,suggestion,IS
NO,positive,NO,neutral,NO
CS,suggestion,IS,suggestion,IS
NO,positive,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
IS,suggestion,CS,suggestion,CS
NO,neutral,NO,positive,NO
IS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
CS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
CS,suggestion,IS,suggestion,IS
NO,positive,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
CS,suggestion,NO,neutral,NO
CS,suggestion,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,neutral,CS,suggestion,CS
IS,suggestion,CS,suggestion,CS
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,neutral,NO,neutral,NO
CS,suggestion,NO,positive,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,neutral,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,neutral,NO,neutral,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,neutral,NO
CS,suggestion,NO,positive,NO
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,neutral,NO
NO,positive,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
NO,neutral,NO,neutral,NO
CS,suggestion,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,neutral,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
CS,suggestion,IS,suggestion,IS
CS,suggestion,NO,neutral,NO
NO,neutral,NO,neutral,NO
CS,suggestion,NO,neutral,NO
CS,suggestion,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,neutral,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,neutral,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,neutral,NO,neutral,NO
IS,suggestion,IS,suggestion,IS
NO,positive,NO,neutral,NO
CS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,neutral,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,NO,neutral,NO
NO,neutral,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,neutral,NO
IS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,neutral,NO
IS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,neutral,NO,neutral,NO
IS,suggestion,IS,suggestion,IS
NO,neutral,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,neutral,IS,suggestion,IS
IS,suggestion,NO,positive,NO
IS,suggestion,IS,suggestion,IS
NO,neutral,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,neutral,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,neutral,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,IS,suggestion,IS
IS,suggestion,NO,positive,NO
IS,suggestion,NO,neutral,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
IS,suggestion,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,neutral,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,IS,suggestion,IS
IS,suggestion,IS,suggestion,IS
IS,suggestion,NO,neutral,NO
IS,suggestion,NO,neutral,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,neutral,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,neutral,NO
NO,positive,NO,neutral,NO
IS,suggestion,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,IS,suggestion,IS
IS,suggestion,IS,suggestion,IS
NO,neutral,IS,suggestion,IS
NO,neutral,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
IS,suggestion,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,neutral,NO,neutral,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,neutral,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,neutral,NO
IS,suggestion,NO,neutral,NO
NO,positive,NO,positive,NO
IS,suggestion,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,neutral,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
IS,suggestion,IS,suggestion,IS
IS,suggestion,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,neutral,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,neutral,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
IS,suggestion,NO,neutral,NO
NO,positive,IS,suggestion,IS
IS,suggestion,IS,suggestion,IS
NO,neutral,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,neutral,NO
IS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
IS,suggestion,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,neutral,NO
IS,suggestion,IS,suggestion,IS
NO,positive,NO,positive,NO
IS,suggestion,IS,suggestion,IS
NO,positive,NO,neutral,NO
IS,suggestion,NO,neutral,NO
NO,neutral,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,NO,neutral,NO
NO,positive,NO,neutral,NO
NO,positive,IS,suggestion,IS
IS,suggestion,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
NO,neutral,NO,positive,NO
NO,neutral,CS,suggestion,CS
IS,suggestion,CS,suggestion,CS
IS,suggestion,NO,neutral,NO
IS,suggestion,CS,suggestion,CS
IS,suggestion,NO,neutral,NO
NO,positive,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,positive,CS,suggestion,CS
NO,positive,CS,suggestion,CS
IS,suggestion,CS,suggestion,CS
IS,suggestion,CS,suggestion,CS
NO,positive,CS,suggestion,CS
IS,suggestion,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,CS,suggestion,CS
NO,positive,NO,neutral,NO
NO,positive,NO,positive,NO
NO,positive,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,positive,NO,positive,NO
NO,positive,NO,neutral,NO
NO,positive,CS,suggestion,CS
NO,positive,NO,positive,NO
NO,positive,NO,positive,NO
CS,suggestion,NO,positive,NO
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
CS,suggestion,NO,positive,NO
NO,neutral,NO,positive,NO
CS,suggestion,NO,neutral,NO
NO,positive,NO,positive,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,neutral,NO
CS,suggestion,NO,positive,NO
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
CS,suggestion,NO,positive,NO
IS,suggestion,NO,positive,NO
NO,positive,NO,neutral,NO
IS,suggestion,CS,suggestion,CS
CS,suggestion,CS,suggestion,CS
NO,neutral,CS,suggestion,CS
NO,positive,NO,positive,NO
IS,suggestion,NO,neutral,NO
IS,suggestion,IS,suggestion,IS
NO,positive,IS,suggestion,IS
NO,neutral,,,
CS,suggestion,,,
NO,positive,,,
NO,positive,,,
NO,positive,,,
NO,positive,,,
NO,positive,,,
NO,positive,,,
NO,positive,,,
NO,neutral,,,
NO,positive,,,
CS,suggestion,,,
NO,neutral,,,
NO,positive,,,
CS,suggestion,,,
CS,suggestion,,,
CS,suggestion,,,
NO,positive,,,
NO,positive,,,
NO,positive,,,
NO,neutral,,,
CS,suggestion,,,
CS,suggestion,,,
CS,suggestion,,,
NO,positive,,,
NO,neutral,,,
IS,suggestion,,,
IS,suggestion,,,
